	German
189	Hast du ungewöhnliche sexuelle Vorlieben?
190	Magst du es dich um Menschen zu kümmern, um deine Zuneigung zu zeigen, selbst wenn sie dich nicht darum gebeten haben?
191	Fühlst du dich wie eine sehr spezielle oder außergewöhnliche Person?
192	Musterst du gern Haare von Menschen, die du magst?
193	Hast du imaginäre Beziehungen (gehabt)?
194	Tendierst du dazu Leute, die du magst, viel anzusehen und Leute, die du nicht magst, wenig oder gar nicht anzusehen?
195	Hast du merkwürdiges Haar (z.B. mehrere Wirbel, abstehende kurze Haare oder andere Besonderheiten)?
196	Bevorzugst du es deinen eigenen Glauben aufzubauen statt existierenden Religionen oder Glaubensrichtungen zu folgen?
197	Fühlst du dich sexuell eher zu Fremden hingezogen als zu dir bekannten Personen?
198	Neigst du dazu romantische Gefühle für jemanden zu entwickeln, der anhaltendes Interesse dir gegenüber zeigt?
199	Magst du konventionelles Ausgehen (Dating)?
200	Fühlst du dich in romantischen Situationen ungezwungen?
201	Bist du asexuell?
202	Magst du Zungenküsse?
203	Verreist du gern?
204	Bist du stolz auf dein Auftreten / deine Erscheinung?
205	Empfindest du deine Handlungen als wichtiger als die der anderen?
206	Wirst du schnell ungeduldig und gereizt, wenn du keine Lösung für ein vorliegendes Problem findest?
207	Findest du des öfteren Fehler in Meinungen, die nicht deine eigenen sind?
208	Erwartest du von anderen Leuten, dass sie deine Gedanken, Erfahrungen oder Meinungen kennen, ohne dass du sie ihnen mitteilst?
209	Fühlst du dich auf irgendeine Art und Weise verfolgt?
210	Hast du Schwierigkeiten Kritik, Korrekturen oder Anweisungen anzunehmen?
211	Gibst du Freunde auf, wenn deine Vorstellungen (des Handelns oder der Ideale) nicht mit ihren übereinstimmen?
212	Durchkreuzt du häufiger Pläne von anderen?
213	Bist du irritiert durch eine Aussage innerhalb eines Gesprächs, wenn sie nicht der allgemeinen Meinung entspricht? 
214	Bevorzugst du es für dich zu bleiben?
215	Findest du es schwer anderen Menschen emotional nah zu sein?
216	Tendierst du dazu ins Stocken zu kommen, wenn dir in sozialen Situationen Fragen gestellt werden?
217	Ist es für dich schwerer als für andere Freundschaften aufrecht zu erhalten?
218	Bist du gut in Teamarbeit?
219	Bevorzugst du es dich ausschließlich mit Menschen zu treffen, die du kennst (bei einem Einzeltreffen oder in kleineren Gruppen)?
220	Gefallen dir große Veranstaltungen, selbst wenn dort große Menschenmengen sind?
221	Benötigst du in Unterhaltungen zusätzliche Zeit, um deine Antwort genau zu durchdenken, sodass es sein kann, dass eine Pause vor deiner Antwort entsteht?
222	Vermeidest du Situationen, in denen andere eventuell dir gegenüber Zuneigung zeigen könnten?
223	Ziehst du es vor Dinge alleine zu tun - auch wenn du die Hilfe oder die Fachkenntnisse anderer gebrauchen könntest?
224	Findest du es leicht deine Gefühle zu beschreiben?
225	Hast du eine Abneigung dagegen, wenn Leute unangemeldet (oder ohne Einladung) vorbeikommen und dich besuchen?
226	Findest du es schwer auf jemanden zu zu gehen, zu dem du dich hingezogen fühlst?
227	Findest du es natürlich zu winken oder ""Hallo"" zu sagen, wenn du Leute triffst?
228	Bist du schüchtern?
229	Bevorzugst du es ausschließlich deinen Partner zu umarmen?
230	Hast du einen gewöhnlichen Sinn für Humor?
231	Kannst du dich leicht an verbale Anweisungen erinnern?
232	Akzeptierst du Kritik, Korrektur und Führung?
233	Findest du es leicht, das Alter von Menschen zu schätzen?
234	Haftungsausschluss: Dieser Frageboden ist kein Ersatz für eine professionelle Diagnostik.
235	Einige der Fragen in diesem Test sind so gestellt, dass die neurodiverse Antwort "ja" ist und einige so, dass die neurodiverse Antwort "nein" ist.
236	Publikationen in Verbindung mit dem Aspie Quiz
237	Das Ziel dieses Tests ist es, eine Einschätzung über sowohl neurodiverse als auch neurotypische Eigenschaften bei Erwachsenenen zu bekommen. Die hier dargebotene Einschätzung der Neurodiversität kann gezielte Hinweise auf definitive Eigenschaften aus dem Autismusspektrum geben für eine eventuell folgende Diagnose.
238	Solltest du Interesse an unserer Langzeitstudie haben, die sich mit der Veränderung der Messwerte über die Zeit beschäftigt, kannst du uns gern bei der Verbesserung des Tests helfen (hierfür musst du dich mit einer gültigen Benutzer-ID einloggen oder eine neue Benutzer-ID registrieren). Ansonsten kann du natürlich auch direkt den vereinfachten Test machen.
239	Deine Statistiken/Ergebnisse sind in einer Datenbank gesichert. Sie könnten veröffentlicht, als Untersuchungsdaten benutzt oder zur Kalibrierung des Tests genutzt werden. Wir speichern jedoch keine IP Adressen oder andere persönliche Informationen.
240	Um an unserer Langzeitstudie teilzunehmen und uns damit zu helfen den Test zu verbessern, musst du dich registrieren/einloggen. (Bitte beachte, dass dafür Familienmitglieder oder andere Personen nicht die selbe User-ID benutzen sollten)
241	Jetzt mit dem Test starten
242	Ich akzeptiere
